VoLL,Effectiveness,DiscountRate,k_star,NPV_star
6885.634168013652,0.731116105006038,0.05879491359565306,11901,6605539334.894928
3028.1474655092447,0.9303325084416771,0.058578970400082045,11518,5549003015.83959
4770.54155982788,0.7672148309822625,0.07781602028024517,10952,4947909506.197063
7528.156996058422,0.9631046244833918,0.09834881364475129,12783,9132399281.418903
5418.611655583358,0.9231261260288064,0.10047014967690697,11990,6642664189.715162
7445.506122759568,0.9102227409134152,0.05805378346149078,12908,9716587985.879751
5413.856583813371,0.9901654653436733,0.06340548130779033,12684,8524113593.410259
6687.751049128149,0.7921695369010211,0.06056374309105894,12195,7238212731.4478855
7741.523789306283,0.838582225515182,0.05321198349678265,12762,9091143753.86948
4598.387663336628,0.9586769645777935,0.06365420886995464,12294,7288619487.349237
3247.268152830791,0.7509698980610913,0.09511595443667578,9237,3384499525.991811
7951.621555231265,0.7415524464120997,0.05821453768365295,12286,7619573315.661083
4321.928096114028,0.7411032857184645,0.10991282728571974,9744,3759078982.646638
6862.788297776986,0.945376708740906,0.08139277556267029,12717,8819973237.002026
7828.989344567345,0.9368534019336905,0.11638773127926147,12574,8483704417.011995
3816.3959144157757,0.9271800006387456,0.11032259507832567,11077,5061295104.235935
4394.713307941216,0.7262999756868175,0.08093914333663038,10255,4186803845.745037
7023.943992900804,0.8497134351290839,0.11056033110157082,12021,6867857947.819813
7531.575331704547,0.8593084928276822,0.05063469792550756,12827,9303634347.885956
6803.838016392585,0.9025454342885015,0.06268163363223869,12717,8807831988.261854
7195.74753179572,0.7827501428189951,0.10600082679331482,11734,6284011153.583292
5247.236673366146,0.8901758860950142,0.0525089513299412,12323,7453802892.8855915
3634.420897724187,0.7725930233763608,0.10163344708984923,9712,3719659993.138856
5162.173751357654,0.8610360728535567,0.07257950283428877,11898,6446994903.006298
5138.820238424994,0.8900040206072518,0.06288925861910756,12183,7037708032.696266
5097.6503464665475,0.9031937043259087,0.10939954938432603,11618,5928733948.456554
5083.608762166641,0.9217522512095093,0.05517314759989419,12391,7600648739.925283
5718.695474981358,0.8017298627360823,0.08129675547496071,11626,5995487912.948732
3789.8368982406405,0.7460855417374804,0.08417496655497174,9936,3895895197.360442
6196.023666937837,0.9560492171131374,0.11466259779693963,12246,7325642211.81167
6626.640321830321,0.8016228776499386,0.07877893145988146,12003,6794212939.610411
6072.617104955543,0.9239485717337788,0.08402522987211924,12383,7708474137.541641
6366.331026715988,0.7915388320614936,0.0606591212499356,12091,6954288401.772915
5073.416474227233,0.7144678739439347,0.07517816430805724,10700,4652406153.093092
